Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
1787,88.8932595555556,-88.0162408888889,-49.555905,-0.00989177777777778,0.0381933333333333,0.000792888888888889,0.130755333333333,8.59062566666667,0.127607666666667,-23.7291666666667,-41.1458333333333,23.6875
1788,70.801167,-88.24086,-67.377651,-0.0112297777777778,0.041048,0.00756511111111111,0.11768,8.673437,-0.148876,-23.9930555555556,-41.0902777777778,23.5902777777778
1789,47.5884321111111,-88.3932492222222,-90.049845,-0.012549,0.051243,0.012584,0.257152,8.847777,-0.259462666666667,-23.8402777777778,-41.0625,23.5625
1790,44.5194325555556,-88.3833516666667,-93.0977334444444,-0.0105806666666667,0.0737327777777778,0.0132314444444444,0.431493,9.100572,0,-23.875,-41,23.8125
1791,52.5929186666667,-88.4118513333333,-85.2624033333333,-0.00801333333333333,0.0953314444444444,0.0158498888888889,0.200491555555556,9.06134522222222,0.625298222222222,-23.8680555555556,-40.7638888888889,23.8125
1792,68.0233726666667,-88.306698,-70.2558991111111,-0.00645766666666667,0.0992626666666667,0.0210486666666667,0.23536,9.84587722222222,-0.0638042222222222,-23.8958333333333,-40.875,23.8263888888889
1793,81.9621454444444,-88.2377324444444,-56.5277957777778,-0.00558122222222222,0.0904895555555555,0.0274793333333333,0.196133333333333,10.591182,0.216933666666667,-24.0833333333333,-40.9375,23.875
1794,95.1526903333333,-88.0199513333333,-43.5384673333333,-0.00423344444444444,0.0716784444444444,0.0322304444444444,0.204850222222222,10.8614097777778,0.00425233333333333,-23.875,-41.1180555555556,23.9583333333333
1795,92.458806,-88.0192628888889,-45.9983492222222,-0.00212366666666667,0.05969,0.0344873333333333,0.204850222222222,10.5998992222222,0.0255234444444444,-23.9444444444444,-41.3263888888889,24.0625
1796,88.5001942222222,-88.2993404444445,-49.4034045555556,0.000410666666666667,0.056432,0.0343654444444444,0.169982,10.3296716666667,0.0765636666666667,-24.0416666666667,-41.3958333333333,24.0208333333333
1797,96.885564,-88.484575,-40.525944,0.002478,0.0550168888888889,0.0323758888888889,0.287661888888889,10.238143,0.0935718888888889,-23.9166666666667,-41.3263888888889,23.9027777777778
1798,117.945972888889,-87.515546,-20.0120221111111,0.00281,0.050161,0.030002,0.278944555555556,10.0986701111111,0.246701,-23.8194444444444,-41.3125,24.0972222222222
1799,124.336133555556,-86.7447362222222,-13.9297192222222,0.00328477777777778,0.0445234444444444,0.0255264444444444,0.196133,9.963556,0.114845,-23.75,-41.0625,24.0625
1800,128.875055333333,-86.017187,-9.74550933333333,0.00416588888888889,0.0341794444444444,0.0210931111111111,0.292020111111111,9.71512155555556,0.136113,-23.5277777777778,-41.1805555555556,23.8194444444444
1801,129.227183555556,-85.491653,-9.73886622222222,0.006074,0.0215893333333333,0.017511,0.431493,9.54078155555556,0.289244333333333,-23.6944444444444,-41.0694444444444,23.9166666666667
1802,124.234770777778,-86.0916013333333,-14.3749006666667,0.009382,0.017226,0.0138423333333333,0.379190666666667,9.30977966666667,0.2297,-23.4166666666667,-40.8541666666667,24.0416666666667
1803,112.128155666667,-87.7048586666667,-25.201114,0.0139297777777778,0.0210271111111111,0.0104878888888889,0.309454,9.335931,0.212683111111111,-23.3333333333333,-40.9513888888889,24.0277777777778
1804,79.7435828888889,-88.6922236666667,-56.6325864444444,0.0168306666666667,0.0264766666666667,0.007517,0.265869,9.07441988888889,0.233943666666667,-23.5069444444444,-41.2986111111111,23.9583333333333
1805,45.8131666666667,-88.6115318888889,-90.3206846666667,0.0161542222222222,0.0301747777777778,0.00469477777777778,0.248435,8.78675833333333,0.242456333333333,-23.5208333333333,-41.3958333333333,23.6666666666667
1806,60.490437,-88.500018,-76.078294,0.0143582222222222,0.0367685555555556,0.003163,0.335605,9.02211866666667,0.259464777777778,-23.5,-41.4722222222222,23.6597222222222
1807,53.3366916666667,-88.4011821111111,-83.193859,0.013509,0.047962,0.000262,0.457643444444444,9.62359333333333,0.302002777777778,-23.7222222222222,-41.5,23.7986111111111
