Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
66,-50.5765181111111,0.108548444444444,-2.834532,-0.001117,-0.00230939528263522,0.0104315056527044,0.313812666666667,-0.143830666666667,9.86441033333334,23.3819444444444,21.0833333333333,-6.98611111111111
67,-50.559931,0.177628666666667,-2.75866466666667,-0.001117,-0.00241268870613142,0.009926946394159,0.392266,-0.11768,9.87291922222222,23.1458333333333,21.1805555555556,-7.16666666666667
68,-50.5728972222222,0.256766888888889,-2.71148722222222,-0.00117922222222222,-0.00231177777777778,0.00974866666666667,0.435851,-0.0523022222222222,9.89419033333333,22.8125,21.3125,-7.3125
69,-50.5343563333333,0.266059111111111,-2.66701611111111,-0.001152,-0.002478,0.00946,0.444568333333333,0,9.85164766666667,22.1944444444444,21.2569444444444,-7.59027777777778
70,-50.527947,0.309393,-2.608965,-0.00113022222222222,-0.00292077777777778,0.00853233333333333,0.431493,-0.0305098888888889,9.838885,21.7083333333333,21.3402777777778,-7.88194444444444
71,-50.5608531111111,0.318105111111111,-2.639525,-0.00110755555555556,-0.00294766666666667,0.00741544444444444,0.466360555555556,-0.0740945555555556,9.838885,21.5833333333333,21.5416666666667,-8.14583333333333
72,-50.5358726666667,-0.234961555555556,-2.99341033333333,-0.001111,-0.00288,0.00622533333333333,0.470719,-0.039227,9.838885,21.5972222222222,21.6388888888889,-8.13194444444444
73,-50.4803606666667,-1.660336,-3.17189566666667,-0.00100277777777778,-0.00280222222222222,0.00547266666666667,0.544813555555556,-0.047944,9.88993366666667,21.4583333333333,21.5347222222222,-8.13194444444444
74,-50.5385704444444,-2.91846577777778,-3.508557,-0.000808888888888889,-0.00265666666666667,0.00454155555555556,0.518662888888889,-0.11768,10.0005274444444,21.2916666666667,21.4791666666667,-8.1875
75,-50.6489276666667,-3.51365966666667,-4.08885866666667,-0.000529333333333333,-0.00260666666666667,0.00265266666666667,0.549172,-0.091529,10.004788,21.25,21.5347222222222,-8.1875
76,-50.808695,-3.244043,-4.605496,-0.000124111111111111,-0.00231555555555556,0.000926666666666667,0.514304,-0.0217927777777778,9.95375,21.0833333333333,21.7847222222222,-7.96527777777778
77,-50.9713731111111,-1.48177722222222,-4.96288188888889,0.000120555555555556,-0.00229622222222222,-0.000194222222222222,0.405341222222222,-0.0653777777777778,9.91120722222222,21.2498932492883,21.8749644164294,-7.87503558357056
78,-51.0380095555556,0.913637666666667,-5.00240922222222,0.000227,-0.002112,-0.000925,0.353039,-0.0130753333333333,9.902699,21.1180555555556,21.7708333333333,-7.8125
79,-50.933807,2.680237,-4.452842,0.00033,-0.00213877777777778,-0.000853444444444444,0.414058777777778,-0.0523018888888889,9.915462,21.1180555555556,21.5208333333333,-7.8125
80,-50.5274274444444,3.49609844444444,-3.39787988888889,0.000329555555555556,-0.001879,-0.00115211111111111,0.396624555555556,-0.078453,9.88142733333333,21.2916666666667,21.75,-7.75
81,-49.8216336666667,3.36041222222222,-2.29149144444444,0.000488666666666667,-0.00171066666666667,-0.000965333333333333,0.431493,0.039227,9.915462,21.3055555555556,21.6805555555556,-7.68055555555556
